FOODID;FOODNAME;LANG
110;MJÖL, VETEMJÖL, HALVGROVT;SV
111;MJÖL, GRAHAMMJÖL;SV
112;MANNAGRYN;SV
113;MANNAGRYN, MÖRKA;SV
114;VETEFLINGOR;SV
115;VETEGRODDAR;SV
116;KLI, VETEKLI;SV
117;MAKARONI, PASTA;SV
119;MAKARONER, MÖRKA;SV
120;NUDEL, VETE;SV
121;PASTA, SPAGHETTI, MAKARONI;SV
124;MJÖL, JÄSTBRÖDSVETEMJÖL;SV
125;MJÖL, MJÖLBLANDNING, SEMLEMJÖL, VETEMJÖL, RÅGMJÖL, VETEKROSS;SV
126;MJÖL, SKORPMJÖL;SV
133;VÅFFELSKAL, VÅFFELSTRUT;SV
142;MJÖL, VETEMJÖL, BAGERIINDUSTRIN, NYMALET;SV
150;MJÖL, KORNMJÖL;SV
151;KORNGRYN;SV
152;KORNFLINGOR;SV
153;HAVREFLINGOR;SV
154;MJÖL, MJÖLBLANDNING, TALKKUNA-MJÖL, INNEHÅLLER KORN;SV
156;RIS, GRÖTRIS, KLIBBIGT;SV
158;FULLKORNSRIS;SV
160;MJÖL, HIRSGRYN/-MJÖL;SV
161;MJÖL, BOVETEGRYN/-MJÖL;SV
162;MJÖL, POTATISMJÖL/-GRYN, POTATISSTÄRKELSE;SV
167;MAJSKORN, TORKAD;SV
168;MALT FÖR SVAGDRICKA/MEMMA;SV
170;KLI, HAVREKLI;SV
172;PASTA, SPENATSPAGHETTI, INNEHÅLLER ÄGG;SV
173;HAVREMAKARONER, INNEHÅLLER VETE OCH HAVRE;SV
175;KROSS, VETEKROSS AV FULLKORN;SV
176;KROSS, RÅGKROSS;SV
182;MJÖL, RISMJÖL/-FLINGOR;SV
183;MJÖL, FULLKORNSRISMJÖL;SV
184;MAJSCHIPS, TACOSKAL;SV
185;MJÖL, GLUTENFRI MJÖLBLANDNING, VETESTÄRKELSEPREPARAT;SV
189;MJÖL, RÅG-VETEMJÖLSBLANDNING;SV
202;POTATIS, TORKAD;SV
203;POTATISCHIPS;SV
204;POTATIS, FÄRSKPOTATIS NYPOTATIS;SV
205;POTATIS, SKALAD;SV
206;POTATISMOSPULVER, OTILLRETT;SV
207;POMMES FRITES, DJUPFRYST;SV
209;POTATISFLINGOR;SV
300;MOROT;SV
302;MOROT, TORKAD;SV
303;KÅLROT;SV
304;ROVA;SV
305;RÖDBETA;SV
307;ÄTTIKSRÖDBETA;SV
308;RÄDISA;SV
309;PALSTERNACKA;SV
310;JORDÄRTSKOCKA;SV
311;ROTSELLERI;SV
312;SVARTROT;SV
320;VITKÅL, HUVUDKÅL;SV
321;RÖDKÅL;SV
322;BLOMKÅL;SV
324;BROCCOLI;SV
326;GRÖNKÅL, BLADKÅL;SV
327;ROSENKÅL, BRYSSELKÅL;SV
329;KÅLRABBI;SV
330;BLADSALLAT, KRUKSALLAT, LOLLO ROSSO;SV
331;ISBERGSSALLAT, FRASIG, AMERIKANSK SALLAT;SV
333;PERSILJA;SV
334;NÄSSLA. BRÄNNÄSSLA;SV
335;LÖK, GUL LÖK;SV
336;LÖK, TORKAD;SV
337;PURJOLÖK;SV
338;RABARBER;SV
339;BLADSELLERI;SV
340;SPARRIS, INLAGD;SV
342;SVAMP, SOPP, KREMLA;SV
343;SVAMP, RISKA, SALTAD;SV
344;SVAMP, KONSERV, I ÄTTIKA;SV
345;CHAMPINJONER;SV
346;GURKA;SV
347;ÄTTIKSGURKA, UTAN TILLSATT SOCKER;SV
348;KRYDDGURKA, SOCKERSALTAD;SV
350;PUMPA;SV
351;SALLAD, SYLTAD PUMPA;SV
352;TOMAT;SV
353;TOMATKETCHUP;SV
354;TOMATPURÉ;SV
355;PAPRIKA, MEDELVÄRDE;SV
356;GRÖNSAKSBLANDNING, MOROT, BLOMKÅL, ÄRTER, BÖNOR;SV
358;JUICE, GRÖNSAKSJUICE;SV
359;KINAKÅL;SV
360;MANGOLD;SV
362;ÄGGPLANTA, AUBERGINE;SV
363;MAJSKORN;SV
364;TRÄDGÅRDSKRASSE;SV
367;KANTARELL;SV
368;STENMURKLA;SV
369;DILL, FÄRSK;SV
370;ÄRTER, GRÖNA, FÄRSKA;SV
371;ÄRTER, GRÖNA, TORKADE;SV
372;BÖNOR, GRÖNA BRYTBÖNOR, FÄRSKA;SV
373;BÖNOR, BRUNA/VITA, MEDELVÄRDE;SV
375;NÖT, HASSELNÖT;SV
376;NÖT, VALNÖT;SV
377;KASTANJER;SV
378;NÖT, JORDNÖT;SV
379;MANDEL;SV
380;MJÖL, SOJAMJÖL, FET;SV
381;MJÖL, SOJAMJÖL, LÅG FETTHALT;SV
382;KOKOSFLINGOR;SV
383;NÖT, SALTAD;SV
384;GRODDAR, MEDELVÄRDE, ALFALFA, MUNGBÖNOR;SV
385;SESAMFRÖN, MED SKAL;SV
386;PAPRIKA, RÖD;SV
387;PAPRIKA, GRÖN;SV
388;PAPRIKA, GUL;SV
389;SQUASH, ZUCCHINI;SV
390;JUICE, TOMATJUICE;SV
391;SOJABÖNOR, TORKADE;SV
392;GRÄSLÖK;SV
393;VITLÖK;SV
394;SALLAD, GURKSALLAD, GURKPICKELS, GURKRELISH;SV
395;BÖNOR, VITA, KOKTA;SV
398;KROSSADE TOMATER;SV
399;LINSER, GRÖNA/BRUNA, TORKADE;SV
401;ÄPPLE, TORKAT;SV
408;APRIKOS, I SOCKERLAG;SV
409;APRIKOS, TORKAD;SV
411;PERSIKA, KONSERV I SOCKERLAG;SV
412;PERSIKA, TORKAD;SV
417;ANANAS, KONSERV, I SOCKERLAG;SV
423;VINDRUVOR, MEDELVÄRDE, KÄRNFRIA, GRÖNA/MÖRKA;SV
427;BLANDAD FRUKT, TORKAD;SV
428;RUSSIN;SV
431;OLIV, MEDELVÄRDE, VÄGD MED KÄRNA, I OLJA, GRÖN/SVART;SV
432;FRUKTSALLAD, KONSERV, I SOCKERLAG;SV
433;JUICE, ÄPPELJUICE, VITAMIN C;SV
434;JUICE, APELSINJUICE, VITAMIN C;SV
435;JUICE, GRAPEJUICE, VITAMIN C;SV
436;JUICE, VITAMIN C, MEDELVÄRDE;SV
437;JUICE, CITRONJUICE, UTSPÄDD;SV
438;JUICE, ANANASJUICE, VITAMIN C;SV
440;LINGON;SV
441;TRANBÄR;SV
442;BLÅBÄR, SKOGSBLÅBÄR;SV
444;SVART VINBÄR;SV
445;RÖTT VINBÄR;SV
446;KRUSBÄR;SV
447;JORDGUBBE;SV
448;HALLON;SV
449;HJORTRON;SV
450;BÄRSYLT, MEDELVÄRDE;SV
451;SAFT, ÅNGAD, OUTSPÄDD, SOCKRAD;SV
452;SAFT, ÅNGAD, SVARTVINBÄRSSAFT, OUTSPÄDD, SOCKRAD;SV
453;SAFT, ÅNGAD, OUTSPÄDD, SOCKERFRI;SV
454;BÄR, MEDELVÄRDE;SV
455;HAVTORN, FINNBÄR;SV
456;BÄRMARMELAD;SV
457;RÖNNBÄR;SV
458;SAFT, SVARTVINBÄRS-LINGONDRYCK;SV
459;SAFT, LINGONSAFT, OUTSPÄDD;SV
461;SAFT, ÅNGAD, UTSPÄDD, SOCKRAD;SV
462;SAFT, ÅNGAD, SVARTVINBÄRSSAFT, UTSPÄDD, SOCKRAD;SV
463;SAFT, ÅNGAD, UTSPÄDD, SOCKERFRI;SV
469;JUICE, FEM FRUKTERS JUICE, VITAMIN C;SV
471;ANANAS, KONSERV, I EGEN JUICE;SV
472;ÄPPELMOS, OSÖTAT;SV
473;FRUKTDRYCK, NEKTAR, FRUKTHALT 50 %;SV
474;JUICE, BÄRJUICE, OSÖTAD;SV
476;SYLT, SÖTAD MED FRUKTOS;SV
477;MELON, NÄTMELON, CANTALOUPE, SKALAD;SV
478;BÄRJUICE, NEKTAR, BÄRHALT 50 %;SV
500;SMÖR;SV
516;BAKNINGSMARGARIN 80%, SUNNUNTAI, FÖR BAKNING, LAKTOSFATTIGT;SV
530;BAGERIINDUSTRIMARGARIN 80 %, BAKNING;SV
531;MATOLJA FÖR LIVSMEDELINDUSTRI, 70 % RYPSÖLJA, 30 % PALMOLJA;SV
535;RYPSOLJA;SV
536;OLIVOLJA;SV
537;JORDNÖTOLJA;SV
540;SOLROSOLJA;SV
541;MATOLJA, MEDELVÄRDE, 87 % RYPS-, 8 % SOLROS- OCH 5 % OLIVOLJA;SV
542;SOJAOLJA;SV
543;MAJSOLJA;SV
550;STEKFETT, ISTER;SV
552;KOKOSFETT 100 %;SV
553;TALG, RÅTT NÖTFETT;SV
562;MAJONNÄS, HAMBURGAREDRESSING, 60 % FETT;SV
563;SALLADSDRESSING, FRANSK, INNEHÅLLER SENAP;SV
565;MATFETTSBLANDNING 40 %, LÅG SALT- OCH LAKTOSHALT, KEVYT LEVI;SV
568;MARGARIN 60 %, RAINBOW/PIRKKA/ELDORADO/K-MENU;SV
570;MATFETTSBLANDNING 40 %, LÅG LAKTOSHALT, KEVYT LEVI;SV
576;SMÖR, OSALTAT;SV
578;MAJONNÄS, 27-33 % FETT;SV
579;SALLADSDRESSING, FETT <17 %, LÅG FETTHALT;SV
585;SMÖR, KRAFTIGT SALTAT;SV
593;BAKMARGARIN 80 %, PIRKKA/RAINBOW;SV
597;MATFETTSBLANDNING 75 %, MEDELVÄRDE AV INDUSTRIELLA PRODUKTER;SV
598;SMÖROLJA 100 %, MJÖLKFETT;SV
600;MJÖLK, GÅRDSMJÖLK, RÅMJÖLK, 4,4 % FETT, UTAN TILLSATT VITAMIN D;SV
602;RÅMJÖLK, COLOSTRUM;SV
604;MJÖLK, GETMJÖLK;SV
606;MJÖLK, FETTFRI, 1 UG VITAMIN D;SV
611;SURMJÖLK, HUSHÅLLSSURMJÖLK, 0,8 % FETT;SV
612;SURMJÖLK, FETTFRI, 1 UG VITAMIN D;SV
613;SURMJÖLK, KÄRNMJÖLK;SV
615;GRÄDDFIL, 10-12 % FETT;SV
616;SURMJÖLK, ACIDOPHILUS-SURMJÖLK, 2,5 % FETT, 1 UG VITAMIN D, PROBIOTIKA;SV
617;FIL, NATURELLT, 3,5 % FETT;SV
618;FIL, NATURELLT, LÄTTFIL, 2,5 % FETT;SV
619;YOGHURT, NATURELL, 2,5 % FETT, LÅG LAKTOSHALT;SV
620;NATURELL YOGHURT BULGARIAN FETT 3,9 %;SV
622;KVARG, NATURELL, <0,5 % FETT;SV
627;MJÖLK, ETTANS MJÖLK, 1 UG VITAMIN D;SV
628;CRÈME FRAICHE, 28 % FETT;SV
629;GRÄDDE, VISPGRÄDDE, 38 % FETT, LÅG LAKTOSHALT, ULTRAPASTÖRISERAD;SV
630;SMETANA, CA 40 % FETT;SV
631;GRÄDDE, VISPGRÄDDE, 38 % FETT;SV
632;MATLAGNINGSGRÄDDE, 19 % FETT, KAFFEGRÄDDE;SV
633;GRÄDDE, KAFFEGRÄDDE, LÄTTGRÄDDE, 10 % FETT, LÅG LAKTOSHALT;SV
635;GRYNOST, FETTFRI, LÅG LAKTOSHALT;SV
636;FIL MED SYLT, ETTANS FIL, 1 % FETT, LÅG LAKTOSHALT;SV
637;YOGHURT, NATURELL, FETTFRI, LÅG LAKTOSHALT, 0,5 UG VITAMIN D;SV
639;YOGHURT, SMAKSATT, FETTFRI;SV
640;OST, VITMÖGELOST, 26-30 % FETT, CAMEMBERT/BRIE;SV
641;OST, GRÄDDOST, 30 % FETT, TURUNMAA/OLTERMANNI/KORSHOLM/MASURKKA;SV
642;OST, EMMENTALOST, 27-30 % FETT, RÖDSTÄMPLAD;SV
643;OST, HÅRD SMÅHÅLIG OST, 24-27 % FETT, EDAM;SV
644;OST, HALVHÅRD OST, 9-11 % FETT, LÄTT, EDAM/KADETT;SV
645;OST, GETOST, 20-25 % FETT, HÅRD OST;SV
647;SMÄLTOST, 20-24 % FETT, MEDELFET;SV
648;SMÄLTOST, 27-35 % FETT, HELFET;SV
649;GRYNOST, 2-5 % FETT;SV
650;OST, HEMOST, 9-14 % FETT, BONDOST;SV
653;OST, BLÅMÖGELOST, 27-30 % FETT, AURA/DANAZOLE, MEDELVÄRDE;SV
654;OST, GOUDA, MEDELVÄRDE, 28-30 % FETT;SV
655;OST, HALVHÅRD OST, 25-35 % FETT, LAPPI/POLAR/SMÅLAND/BILLINGE/RUSTHOLLI;SV
657;OST, BRÖDOST, 17-23 % FETT;SV
658;FÄRSKOST, 36-44 % FETT, HELFET, KASAKKA/MUSTA-PEKKA;SV
659;SMÄLTOST, 9-12 % FETT, FETTSNÅL;SV
661;GLASS, MJUKGLASS, SOFT ICE MED VÅFFEL;SV
663;GLASS, GRÄDDGLASS;SV
664;GLASS, GRÄDDGLASSPINNE MED CHOKLADÖVERDRAG, MEDELVÄRDE;SV
665;GLASS, GRÄDDGLASSTRUT;SV
666;GLASS, MJÖLKGLASS;SV
667;GLASS, SOCKERFRI, SYNTETISKT SÖTAD, 6,5 % FETT;SV
668;GLASS, GRÄDDGLASS, > 12 % FETT, MEDELVÄRDE;SV
672;MJÖLKPULVER, FETTFRITT;SV
675;MJÖLK, LÄTTMJÖLK, LÅG LAKTOSHALT, 1 UG VITAMIN D;SV
680;FIL, NATURELLT, 1 % FETT, ETTANS FIL;SV
682;FÄRSKOST, 30 % FETT, SMAKSATT, CREME BONJOUR/CANTADOU;SV
684;MJÖLK, LÄTTMJÖLK, 1 UG VITAMIN D;SV
685;YOGHURT, SMAKSATT, FETTFRI, DELVIS SYNTETISKT SÖTAD, MEDELVÄRDE;SV
686;YOGHURT, SMAKSATT, 7 % FETT;SV
687;YOGHURT, MATLAGNINGSYOGHURT, 6-8 % FETT, LÅG LAKTOSHALT;SV
689;MJÖLK, HELMJÖLK, 1 UG VITAMIN D;SV
690;OST, SALLADOST, 18 % FETT, AV KOMJÖLK, I SALTLAG;SV
691;OST, EMMENTALOST, 27-30 % FETT, STORHÅLIG, BLÅSTÄMPLAD/GRUYERE;SV
698;OST, CHEDDAR, 34 % FETT;SV
699;MATLAGNINGSGRÄDDE, VEGETABILISK FETTBLANDNING, 15 % FETT;SV
701;SVINKROPP, MEDELFET;SV
703;GRISKOTLETT/RYGG, TJOCKT FETTLAGER;SV
704;SKINKA, MED FLÄSK;SV
705;GRISBOG;SV
706;SIDFLÄSK AV GRIS;SV
707;BACON, 32 % FET;SV
708;RYGGFLÄSK AV GRIS, SPÄCK;SV
709;GRISLÄGG;SV
711;KÖTTFÄRS, GRIS-NÖT;SV
712;KÖTTFÄRS, NÖTFÄRS, LÅG FETTHALT, 7 % FETT;SV
713;GRISKÖTT, MEDELVÄRDE;SV
714;NÖTKÖTT, FETT, MEDELVÄRDE;SV
716;NÖTKROPP, MEDELFET, 13 % FETT;SV
718;NÖTSTEK;SV
719;NÖTBOG/HÖGREV, SOPPKÖTT AV NÖT;SV
720;NÖTLÄGG;SV
721;NÖTBRINGA;SV
722;NÖT, YTTRE FILÉ;SV
723;KÅLLAPP;SV
726;KALVSTEK, RÅ;SV
730;LAMMKÖTT, LÅG FETTHALT;SV
731;LAMMKÖTT, FETT;SV
732;LAMMSTEK, RÅ;SV
734;RENKÖTT;SV
735;ÄLGKÖTT;SV
736;HARE;SV
737;KANIN;SV
741;KÖTTKONSERV, NÖTKÖTT;SV
743;KÖTTKONSERV, GRIS-NÖT;SV
747;ALADÅB PÅ NÖTKÖTT;SV
748;GRISSTEK, LÅG FETTHALT;SV
750;HÖNA;SV
751;KYCKLING, HEL, MED SKINN, RÅ;SV
752;KALKON MED SKINN;SV
753;SKOGSFÅGEL;SV
754;KYCKLING, STRIMLAD;SV
775;PÅLÄGG AV HELT KÖTT, BASTUPALVAD SKINKA, 6 % FETT;SV
776;PÅLÄGG AV HELT KÖTT, PÅLÄGG AV NÖTKÖTT, 2,8 % FETT;SV
779;PÅLÄGG AV HELT KÖTT, KOKT SKINKA, 3 % FETT;SV
786;LEVER, NÖT;SV
787;LEVER, GRIS;SV
788;LEVER, KYCKLING;SV
789;LEVER, REN;SV
790;LEVER, MEDELVÄRDE;SV
791;NJURE;SV
792;HJÄRTA, NÖT;SV
793;TUNGA, NÖT;SV
794;BLOD;SV
797;PÅLÄGG AV HELT KÖTT, RENPÅLÄGG, KALLRÖKT;SV
799;PÅLÄGG AV HELT KÖTT, SKINKPÅLÄGG, LÅG FETTHALT, 3 % FETT;SV
800;STRÖMMING, FÄRSK, ÖSTERSJÖN;SV
801;STRÖMMING, SALTAD, ÖSTERSJÖN;SV
802;STRÖMMING, RÖKT, ÖSTERSJÖN;SV
803;SILL, SALTAD I TUNNA;SV
804;TORSK;SV
805;GÖS;SV
806;RÖDFISK, RÖKT;SV
807;HÄLLEFLUNDRA, RÖKT;SV
809;MUJKA, INSJÖ;SV
810;MUJKA, INSJÖ, SALTAD;SV
811;MUJKA, INSJÖ, RÖKT;SV
812;ABBORRE;SV
813;GÄDDA;SV
814;BRAXEN;SV
815;SIK;SV
816;SIK, RÖKT;SV
817;LAX, HEL;SV
818;LAX, GRAVAD;SV
819;LAKE;SV
820;FLUNDRA;SV
821;ÅL;SV
822;REGNBÅGSLAX, HEL, MEDELVÄRDE;SV
823;ÖRING;SV
824;FISK, MEDELVÄRDE, STRÖMMING/MUJKA/ABBORRE/GÄDDA;SV
825;NEJONÖGA, RÖKT;SV
826;SEJ, DJUPFRYST;SV
828;TONFISK, I OLJA;SV
829;ANSJOVIS;SV
830;LAX, KONSERV, I OLJA;SV
831;SARDIN, MEDELVÄRDE, I OLJA OCH TOMATSÅS;SV
832;ROMKAVIAR, MÖRK STÖRROM;SV
833;ROMKRÄM;SV
834;BLÅMUSSLA, I VATTEN;SV
835;RÄKA;SV
836;KRÄFTA;SV
837;SILL, KRYDD-/SALTSILL, MEDELVÄRDE;SV
838;STRÖMMING, KRYDD-/SALTSTRÖMMING, MEDELVÄRDE;SV
844;BRAXEN, RÖKT;SV
845;MÖRT;SV
846;RÖDFISK, DJUPFRYST;SV
848;REGNBÅGSLAXFILÉ, HAV;SV
851;ÄGGULA, 34 % AV ÄGGMASSAN;SV
852;ÄGGVITA, 66 % AV ÄGGMASSAN;SV
855;VAKTELÄGG;SV
856;FISK, RÖKT, MEDELVÄRDE, FETTSNÅL;SV
857;FISK, RÖKT, MEDELVÄRDE, FET;SV
858;ÄGG, UTAN SKAL;SV
859;SILL I VITLÖKS-/SENAPSSÅS;SV
860;STRÖMMING I DILLSÅS/SENAPSSÅS;SV
862;TONFISK;SV
863;OSTRON, VÄGDA MED SKAL;SV
864;SNIGEL;SV
865;BLÄCKFISK;SV
866;HUMMER;SV
870;REGNBÅGSLAXFILÉ, GRAVAD;SV
871;LAXFILÉ;SV
900;KAFFE, KAFFEDRYCK, MEDELVÄRDE;SV
901;TE;SV
902;ÖL, MELLANÖL, 4,5 VOL-% ALKOHOL;SV
903;ÖL, A-ÖL, 5- 5,5 VOL-% ALKOHOL;SV
904;VIN, MEDELVÄRDE, 8-15 VOL-% ALKOHOL;SV
905;STARKVIN, SÖTT, BITTER, SHERRY, VERMOUTH, MADEIRA, FRUKTVIN;SV
906;STARKSPRIT, VODKA, GIN;SV
907;KONJAK/ROM/WHISKEY, 40 VOL-% ALKOHOL;SV
908;LIKÖR, 20-30 VOL-% ALKOHOL;SV
909;GIN LONG DRINK, 5,5 VOL-% ALKOHOL;SV
910;LÄSKEDRYCK;SV
911;CIDER SÖT, <3 VOL-% ALKOHOL;SV
912;MJÖD;SV
913;ÖL, I-ÖL, <2,8 VOL-% ALKOHOL;SV
914;SVAGDRICKA;SV
915;MINERALVATTEN;SV
917;TE, CITRONTEPULVER, OTILLREDD, SNABBTE, SÖTAT MED SOCKER;SV
920;LÄSKEDRYCK, SOCKERFRI, LIGHT;SV
921;MINERALVATTEN, LÅG NATRIUMHALT;SV
922;VATTEN, KRANVATTEN;SV
923;TE, ÖRTTE;SV
924;RÖDVIN;SV
925;VITT VIN, TORRT;SV
926;VITT VIN, SÖTT;SV
928;LÄSKEDRYCK, COLADRYCK, MEDELVÄRDE;SV
929;VINÄGER, VINÄTTIKA;SV
930;KAFFE, FILTERKAFFE;SV
931;KAFFE, PANNKAFFE;SV
932;KAFFE, CAPPUCCINO, OSÖTAD, HELMJÖLK;SV
933;STARKSPRITSÄTTIKA;SV
934;HONUNGS-ÄPPELVINÄGER;SV
936;SVAGT VIN, 4-5 VOL-% ALKOHOL;SV
937;TEE, GRÖNT TE;SV
938;LÄSKEDRYCK, DELVIS SYNTETISKT SÖTAD;SV
939;CIDER, SÖT, 4,7 VOL-% ALKOHOL;SV
940;ÖL, STARKT, 7,5- 8 VOL-% ALKOHOL;SV
941;LÄSKEDRYCK, COLADRYCK LIGHT, DELVIS SYNTETISKT SÖTAD;SV
942;GRÄDDLIKÖR, 15-17 VOL-% ALKOHOL;SV
946;STÄRKELSESIRAP, GLUKOSSIRAP;SV
1554;OSTSNACKS;SV
5007;SMÖRGÅSPICKELS;SV
11004;ROM, MEDELVÄRDE;SV
11005;FYRKORNSFLINGOR;SV
11007;NYPON;SV
11012;JORDGUBBSSYLT, HEMLAGAD, SOCKER 54 G/100 G;SV
11013;APELSINMARMELAD;SV
11014;PALMOLJA;SV
11030;MJÖL, RÅGSIKTMJÖL;SV
11045;APELSIN, SKALAD;SV
11046;MANDARIN, SKALAD;SV
11047;GRAPE, SKALAD;SV
11048;CITRON, SKALAD;SV
11049;BANAN, SKALAD;SV
11050;KIWI, SKALAD;SV
11051;PERSIKA/NEKTARIN, SKALAD, KÄRNFRI;SV
11052;KÖRSBÄR, KÄRNFRI;SV
11053;PLOMMON, KÄRNFRI;SV
11054;APRIKOS, MEDELVÄRDE, KÄRNFRI;SV
11055;VATTENMELON, SKALAD;SV
11056;ANANAS, SKALAD;SV
11057;AVOKADO, SKALAD, KÄRNFRI;SV
11059;TONFISK, MEDELVÄRDE;SV
11060;ÄPPLE, INHEMSKT, SKALAT;SV
11061;ÄPPLE, UTLÄNDSKT, SKALAT;SV
11062;PÄRON, SKALAT;SV
11063;PLOMMON, KÄRNFRI, TORKAD;SV
11064;CHAMPINJONER, KONSERV;SV
11065;NYPONPURÉ, UTAN SOCKER;SV
11067;TONFISK, I VATTEN;SV
11069;VIN, ALKOHOLFRITT;SV
11071;SPECIALFRUKT, EXOTISK, MEDELVÄRDE, MANGO/PAPAYA, SKALAD;SV
11072;SURGURKA;SV
11074;GRODDAR, ALFALFA-GRODDAR;SV
11086;NÖT, CASHEW-NÖT;SV
11087;SESAMPASTA TAHINI, UTAN SALT;SV
11089;KIKÄRT I OSALTAT VATTEN, KAFFEÄRT;SV
11090;BÖNOR, VITA BÖNOR, TOMATSÅS;SV
11092;VASSLEPULVER, FÖR LIVSMEDELSINDUSTRI;SV
11130;FÄRSKOST, 6-11 % FETT, SMAKSATT;SV
11131;OST, VITMÖGEL-/VITBLÅMÖGELOST, 40 % FETT;SV
11133;OST, HALVHÅRD OST, LÄTT, 15-18 % FETT;SV
11134;BASILIKA, FÄRSK;SV
11135;BAMBUSKOTT;SV
11136;GRÄDDE, VISPGRÄDDE, LÄTT, 25 % FETT;SV
11142;SAFTIS, MEDELVÄRDE;SV
11145;MJÖLK, FETTFRI, LÅG LAKTOSHALT, 1 UG VITAMIN D;SV
11146;OST, BRÖDOST, 17-23 % FETT, LÅG LAKTOSHALT;SV
11148;GLASS, GRÄDDGLASSPINNE, CHOKLAD, MEDELVÄRDE;SV
11149;GLASS, SAFTIS-GLASSPINNE, MEDELVÄRDE;SV
11150;KYCKLING, MARINERAD, UTAN SKINN, RÅ;SV
11152;GRÄDDFIL, LÅG LAKTOSHALT, 10-12 % FETT;SV
11154;FIL, NATURELLT, LÄTTFIL 2 % FETT, LÅG LAKTOSHALT;SV
11155;GRYNOST, 2-5 % FETT, LÅG LAKTOSHALT;SV
11156;KVARG, NATURELL, <0,5 % FETT, LÅG LAKTOSHALT;SV
11159;CRÈME FRAICHE, 15-18 % FETT;SV
11164;DESSERTSÅS, VANILLINSÅS, VISPBAR;SV
11165;SURMJÖLK, FETTFRI, LÅG LAKTOSHALT, 1 UG VITAMIN D;SV
11172;GLASS, GLASSPINNE, VEGETABILISK FETT, CHOKLADÖVERDRAG;SV
11173;GLASS, GLASSTRUT, STRUT, VEGETABILISK FETT;SV
11177;SVARTPEPPAR;SV
11178;VITPEPPAR;SV
11182;PAPRIKAPULVER;SV
11188;VANILLINSOCKER;SV
11191;OREGANO, TORKAD;SV
11194;TIMJAN;SV
11196;AROMSALT/ÖRTSALT, SALTHALT 71 %;SV
11197;KRYDDSÅS, BRUN, HP-SÅS;SV
11198;DRUVSOCKER, GLUKOS;SV
11203;HONUNGSMELON, SKALAD;SV
11210;PASTILL SÖTAD MED XYLITOL, C-VITAMINERAD;SV
11211;OST, FETAOST, 25 % FETT, AV GETMJÖLK, I SALTLAG;SV
11212;SOLROSFRÖN;SV
11287;VEGETABILISK MATFETT 28 %, MINI LÄTTA;SV
11503;JUICE, VINDDRUVSJUICE;SV
11505;BANANCHIPS, TORKAD BANAN;SV
11507;RISSTÄRKELSE;SV
11512;KOTLETTRAD;SV
11513;GRISFILÉ, INNERFILÉ, 4,5 % FETT;SV
11521;RIS, LÅNGKORNIGT, KLIBBFRITT;SV
11522;RIS- OCH RÅGKROSSBLANDNING;SV
11550;FÄRSKOST, 30 % FETT, SMAKSATT, LÅG LAKTOSHALT;SV
11551;KALKON BRÖSTFILÉ;SV
11553;FRUKTSYLT, MEDELVÄRDE;SV
11557;JUICE, CITRONJUICE, OUTSPÄDD;SV
11558;JUICE, APELSINJUICE, KALCIUM;SV
11562;KÖTTFÄRS, NÖTFÄRS, 17 % FETT;SV
11563;KYCKLING, KYCKLINGBEN, MED SKINN, RÅ;SV
